日期,当日销量（张）,当日销量（元）,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）
2023/5/20,364,9828,0,0,364,9828,0,0,0,0,0,0
2023/5/21,423,11421,0,0,423,11421,0,0,0,0,0,0
2023/5/22,297,8019,0,0,297,8019,0,0,0,0,0,0
2023/5/23,333,8991,0,0,333,8991,0,0,0,0,0,0
2023/5/24,242,6534,0,0,242,6534,0,0,0,0,0,0
2023/5/25,347,9369,0,0,347,9369,0,0,0,0,0,0
2023/5/26,328,8856,0,0,328,8856,0,0,0,0,0,0
2023/5/27,385,10395,0,0,385,10395,0,0,0,0,0,0
2023/5/28,687,18549,0,0,687,18549,0,0,0,0,0,0
2023/5/29,856,23112,0,0,856,23112,0,0,0,0,0,0
2023/5/30,592,15984,0,0,592,15984,0,0,0,0,0,0
2023/5/31,383,10341,0,0,383,10341,0,0,0,0,0,0
2023/6/1,511,13797,0,0,511,13797,0,0,0,0,0,0
2023/6/2,413,11151,0,0,413,11151,0,0,0,0,0,0
2023/6/3,452,12204,0,0,452,12204,0,0,0,0,0,0
2023/6/4,440,11880,0,0,440,11880,0,0,0,0,0,0
2023/6/5,419,11313,0,0,419,11313,0,0,0,0,0,0
2023/6/6,390,10530,0,0,390,10530,0,0,0,0,0,0
2023/6/7,355,9585,0,0,355,9585,0,0,0,0,0,0
2023/6/8,323,8721,0,0,323,8721,0,0,0,0,0,0
2023/6/9,337,9099,0,0,337,9099,0,0,0,0,0,0
2023/6/10,385,10395,0,0,385,10395,0,0,0,0,0,0
2023/6/11,355,9585,0,0,355,9585,0,0,0,0,0,0
2023/6/12,382,10314,0,0,382,10314,0,0,0,0,0,0
2023/6/13,328,8856,0,0,328,8856,0,0,0,0,0,0
2023/6/14,268,7236,0,0,268,7236,0,0,0,0,0,0
2023/6/15,310,8370,0,0,310,8370,0,0,0,0,0,0
2023/6/16,305,8235,0,0,305,8235,0,0,0,0,0,0
2023/6/17,304,8208,0,0,304,8208,0,0,0,0,0,0
2023/6/18,297,8019,0,0,297,8019,0,0,0,0,0,0
2023/6/19,275,7425,0,0,275,7425,0,0,0,0,0,0
2023/6/20,327,8829,0,0,327,8829,0,0,0,0,0,0
2023/6/21,303,8181,0,0,303,8181,0,0,0,0,0,0
2023/6/22,337,9099,0,0,337,9099,0,0,0,0,0,0
2023/6/23,558,15066,0,0,558,15066,0,0,0,0,0,0
2023/6/24,737,19899,0,0,737,19899,0,0,0,0,0,0
2023/6/25,661,17847,0,0,661,17847,0,0,0,0,0,0
2023/6/26,479,12933,0,0,479,12933,0,0,0,0,0,0
2023/6/27,365,9855,0,0,365,9855,0,0,0,0,0,0
2023/6/28,382,10314,0,0,382,10314,0,0,0,0,0,0
2023/6/29,566,15282,0,0,566,15282,0,0,0,0,0,0
2023/6/30,410,11070,0,0,410,11070,0,0,0,0,0,0
2023/7/1,332,8964,0,0,332,8964,0,0,0,0,0,0
2023/7/2,521,14067,0,0,521,14067,0,0,0,0,0,0
2023/7/3,359,9693,0,0,359,9693,0,0,0,0,0,0
2023/7/4,337,9099,0,0,337,9099,0,0,0,0,0,0
2023/7/5,252,6804,0,0,252,6804,0,0,0,0,0,0
2023/7/6,255,6885,0,0,255,6885,0,0,0,0,0,0
2023/7/7,251,6777,0,0,251,6777,0,0,0,0,0,0
2023/7/8,251,6777,0,0,251,6777,0,0,0,0,0,0
2023/7/9,256,6912,0,0,256,6912,0,0,0,0,0,0
2023/7/10,239,6453,0,0,239,6453,0,0,0,0,0,0
2023/7/11,212,5724,0,0,212,5724,0,0,0,0,0,0
2023/7/12,276,7452,0,0,276,7452,0,0,0,0,0,0
2023/7/13,313,8451,0,0,313,8451,0,0,0,0,0,0
2023/7/14,317,8559,0,0,317,8559,0,0,0,0,0,0
2023/7/15,321,8667,0,0,321,8667,0,0,0,0,0,0
2023/7/16,259,6993,0,0,259,6993,0,0,0,0,0,0
2023/7/17,245,6615,0,0,245,6615,0,0,0,0,0,0
2023/7/18,209,5643,0,0,209,5643,0,0,0,0,0,0
2023/7/19,260,7020,0,0,260,7020,0,0,0,0,0,0
2023/7/20,259,6993,0,0,259,6993,0,0,0,0,0,0
2023/7/21,291,7857,0,0,291,7857,0,0,0,0,0,0
2023/7/22,248,6696,0,0,248,6696,0,0,0,0,0,0
2023/7/23,222,5994,0,0,222,5994,0,0,0,0,0,0
2023/7/24,245,6615,0,0,245,6615,0,0,0,0,0,0
2023/7/25,239,6453,0,0,239,6453,0,0,0,0,0,0
2023/7/26,238,6426,0,0,238,6426,0,0,0,0,0,0
2023/7/27,244,6588,0,0,244,6588,0,0,0,0,0,0
2023/7/28,232,6264,0,0,232,6264,0,0,0,0,0,0
2023/7/29,420,11340,0,0,420,11340,0,0,0,0,0,0
2023/7/30,334,9018,0,0,334,9018,0,0,0,0,0,0
2023/7/31,359,9693,0,0,359,9693,0,0,0,0,0,0
2023/8/1,236,6372,0,0,236,6372,0,0,0,0,0,0
2023/8/2,230,6210,0,0,230,6210,0,0,0,0,0,0
2023/8/3,177,4779,0,0,177,4779,0,0,0,0,0,0
2023/8/4,206,5562,0,0,206,5562,0,0,0,0,0,0
2023/8/5,213,5751,0,0,213,5751,0,0,0,0,0,0
2023/8/6,231,6237,0,0,231,6237,0,0,0,0,0,0
2023/8/7,200,5400,0,0,200,5400,0,0,0,0,0,0
2023/8/8,179,4833,0,0,179,4833,0,0,0,0,0,0
2023/8/9,177,4779,0,0,177,4779,0,0,0,0,0,0
2023/8/10,191,5157,0,0,191,5157,0,0,0,0,0,0
2023/8/11,222,5994,0,0,222,5994,0,0,0,0,0,0
2023/8/12,182,4914,0,0,182,4914,0,0,0,0,0,0
2023/8/13,201,5427,0,0,201,5427,0,0,0,0,0,0
2023/8/14,250,6750,0,0,250,6750,0,0,0,0,0,0
2023/8/15,332,8964,0,0,332,8964,0,0,0,0,0,0
2023/8/16,282,7614,0,0,282,7614,0,0,0,0,0,0
2023/8/17,356,9612,0,0,356,9612,0,0,0,0,0,0
2023/8/18,235,6345,0,0,235,6345,0,0,0,0,0,0
2023/8/19,263,7101,0,0,263,7101,0,0,0,0,0,0
2023/8/20,240,6480,0,0,240,6480,0,0,0,0,0,0
2023/8/21,278,7506,0,0,278,7506,0,0,0,0,0,0
2023/8/22,295,7965,0,0,295,7965,0,0,0,0,0,0
2023/8/23,260,7020,0,0,260,7020,0,0,0,0,0,0
2023/8/24,270,7290,0,0,270,7290,0,0,0,0,0,0
2023/8/25,250,6750,0,0,250,6750,0,0,0,0,0,0
2023/8/26,398,10746,0,0,398,10746,0,0,0,0,0,0
2023/8/27,371,10017,0,0,371,10017,0,0,0,0,0,0
2023/8/28,431,11637,0,0,431,11637,0,0,0,0,0,0
2023/8/29,366,9882,0,0,366,9882,0,0,0,0,0,0
2023/8/30,277,7479,0,0,277,7479,0,0,0,0,0,0
2023/8/31,264,7128,0,0,264,7128,0,0,0,0,0,0
2023/9/1,281,7587,0,0,281,7587,0,0,0,0,0,0
2023/9/2,281,7587,0,0,281,7587,0,0,0,0,0,0
2023/9/3,282,7614,0,0,282,7614,0,0,0,0,0,0
2023/9/4,281,7587,0,0,281,7587,0,0,0,0,0,0
2023/9/5,301,8127,0,0,301,8127,0,0,0,0,0,0
2023/9/6,283,7641,0,0,283,7641,0,0,0,0,0,0
2023/9/7,218,5886,0,0,218,5886,0,0,0,0,0,0
2023/9/8,295,7965,0,0,295,7965,0,0,0,0,0,0
2023/9/9,506,13662,0,0,506,13662,0,0,0,0,0,0
2023/9/10,1085,29295,0,0,1085,29295,0,0,0,0,0,0
2023/9/11,1398,37746,0,0,1398,37746,0,0,0,0,0,0
2023/9/12,889,24003,0,0,889,24003,0,0,0,0,0,0
2023/9/13,748,20196,0,0,748,20196,0,0,0,0,0,0
2023/9/14,559,15093,0,0,559,15093,0,0,0,0,0,0
2023/9/15,522,14094,0,0,522,14094,0,0,0,0,0,0
2023/9/16,514,13878,0,0,514,13878,0,0,0,0,0,0
2023/9/17,546,14742,0,0,546,14742,0,0,0,0,0,0
